objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Waterfowl.pdf,,,Waterfowl Notes,"Cumbow, Glory",2025-03-14,This presentation is about waterfowl. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-1-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Game Bird Families.pdf,,,Game Bird Notes,"Cumbow, Glory",2025-03-14,This presentation is about game birds. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-2-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Large Mammals.pdf,,,Large Mammals Notes,"Cumbow, Glory",2025-03-14,This presentation is about large mammals. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-3-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,Small Mammals.pdf,,,Small Mammals Notes,"Cumbow, Glory",2025-03-14,This presentation is about small mammals. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-4-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Range Lands.pdf,,,Range Land Notes,"Cumbow, Glory",2025-03-14,This presentation is about rnage lands. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-5-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,Forests.pdf,,,Forestry Notes,"Cumbow, Glory",2025-03-14,This presentation is about forestry. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-6-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,Cold Water Fish.pdf,,,Cold Water Fish Notes,"Cumbow, Glory",2025-03-14,This presentation is about cold water fish. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-7-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,Warm Water Fish.pdf,,,Warm Water Fish Notes,"Cumbow, Glory",2025-03-14,This presentation is about warm water fish. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-8-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,Park Management.pdf,,,Park Management Notes,"Cumbow, Glory",2025-03-14,This presentation is about park management. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-9-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,International Conservation Issues.pdf,,,International Conservation Issues Notes,"Cumbow, Glory",2025-03-14,This presentation is about international conservation issues. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-10-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,Animal Predators.pdf,,,Animal Predator Notes,"Cumbow, Glory",2025-03-14,The presentation is about animal predators. These presentations are notes compiled from the Penn Foster Wildlife and Forestry Conservation Certificate.,notes; wildlife; forestry; conservation,"Belmont, North Carolina",35.25,-80.97,Presentation created on Canva.com by Glory Cumbow,note-11-2025,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/